Year,MonthNumber,MonthName,MonthKey,Quarter,DateKey,AccountKey,SubName,AccountNumber,AccountName,State,RawProduct,ServiceGroup,ServiceGroupShort,FreightTypeDescription,ChargeCategory,IsAccessorial,NumberOfUnits,AccessorialSpend,GrossSpend,NetSpend,SourceFile
2025,1,Jan,202501,Q1,2025-01-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,BASE (FREIGHT) CHARGE,BASE (FREIGHT) CHARGES,No,32944,0.0,2510085.53,965417.51,SAMPLE_2025_01_Accessorial.xlsx
2025,1,Jan,202501,Q1,2025-01-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FUEL SURCHARGE,Yes,78440,97427.45,253311.37,97427.45,SAMPLE_2025_01_Accessorial.xlsx
2025,1,Jan,202501,Q1,2025-01-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,SCC AUDIT FEE,Yes,47,21035.47,54692.22,21035.47,SAMPLE_2025_01_Accessorial.xlsx
2025,1,Jan,202501,Q1,2025-01-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDRESS CORRECTION,Yes,564,11071.3,28785.38,11071.3,SAMPLE_2025_01_Accessorial.xlsx
2025,1,Jan,202501,Q1,2025-01-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,COMMERCIAL SIGNATURE REQUIRED,Yes,266,2103.55,5469.23,2103.55,SAMPLE_2025_01_Accessorial.xlsx
2025,1,Jan,202501,Q1,2025-01-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,FIRST WEEKEND DAY-SATURDAY-DELIVERY,Yes,164,1439.27,3742.1,1439.27,SAMPLE_2025_01_Accessorial.xlsx
2025,1,Jan,202501,Q1,2025-01-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DECLARED VALUE,Yes,23,1107.13,2878.54,1107.13,SAMPLE_2025_01_Accessorial.xlsx
2025,1,Jan,202501,Q1,2025-01-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,DELIVERY AREA SURCHARGE,Yes,705,2878.54,7484.2,2878.54,SAMPLE_2025_01_Accessorial.xlsx
2025,1,Jan,202501,Q1,2025-01-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,RESIDENTIAL SURCHARGE,Yes,478,2324.97,6044.92,2324.97,SAMPLE_2025_01_Accessorial.xlsx
2025,1,Jan,202501,Q1,2025-01-01,ALL,All business units,ALL,All accounts,,ALL,All services,All,ACCESSORIAL,ADDITIONAL HANDLING,Yes,62,2324.98,6044.95,2324.98,SAMPLE_2025_01_Accessorial.xlsx
