Year,MonthNumber,MonthName,MonthKey,Quarter,DateKey,AccountKey,SubNumber,SubName,IsMaskedSubParent,AccountNumber,AccountName,City,State,ZIP,RawProduct,ServiceGroup,ServiceGroupShort,ServiceTier,Scope,IncludeInRanking,PackagesMeasured,LateByTime,LateByDay,TotalLate,OnTimePackages,SourceFile,ViewType
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,GROUND,Ground,Ground,Deferred,Domestic,Yes,22162,112,842,954,21208,SAMPLE_2025_01_TnT.xlsx,Shipper View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,THREE DAY SELECT,3 Day Select,3DS,Deferred,Domestic,Yes,306,0,1,1,305,SAMPLE_2025_01_TnT.xlsx,Shipper View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,SECOND DAY AIR,2nd Day Air / Expedited,2DA,Expedited,Domestic,Yes,2210,1,33,34,2176,SAMPLE_2025_01_TnT.xlsx,Shipper View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,SECOND DAY EARLY AM,2nd Day Air Early A.M.,2DA AM,Expedited,Domestic,Yes,98,0,2,2,96,SAMPLE_2025_01_TnT.xlsx,Shipper View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,NEXT DAY AIR SAVER,Next Day Air Saver,NDA Saver,Premium,Domestic,Yes,777,1,15,16,761,SAMPLE_2025_01_TnT.xlsx,Shipper View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,NEXT DAY AIR,Next Day Air / Express,NDA,Premium,Domestic,Yes,3820,7,126,133,3687,SAMPLE_2025_01_TnT.xlsx,Shipper View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,UPS EXPRESS EARLY,Next Day Air Early,NDA Early,Premium,Domestic,Yes,17,0,0,0,17,SAMPLE_2025_01_TnT.xlsx,Shipper View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,INTERNATIONAL EXPRESS,International Express,Intl Express,Premium,International,Yes,19,0,1,1,18,SAMPLE_2025_01_TnT.xlsx,Shipper View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,INTERNATIONAL EXPRESS SAVER,International Express Saver,Intl Saver,Premium,International,Yes,13,0,0,0,13,SAMPLE_2025_01_TnT.xlsx,Shipper View
2025,1,Jan,202501,Q1,2025-01-01,0009100011|TCH001,0009100011,Technology Operations,No,TCH001,Technology Operations - Central,Columbus,OH,43004,INTERNATIONAL EXPEDITED,International Expedited,Intl Expedited,Expedited,International,Yes,3,0,0,0,3,SAMPLE_2025_01_TnT.xlsx,Shipper View
