SourceSystem,RawProduct,ServiceGroup,ServiceGroupShort,ServiceTier,Scope,IncludeInRanking,ServicePriority,Notes
VnS,GROUND PKG,Ground,Ground,Deferred,Domestic,Yes,1,Core domestic ground package volume.
VnS,GROUND CWT,Ground,Ground,Deferred,Domestic,Yes,1,Hundredweight ground; same service group as ground package.
VnS,STANDARD GROUND,Ground,Ground,Deferred,Domestic,Yes,1,Standard ground rating tier.
VnS,3DS PKG,3 Day Select,3DS,Deferred,Domestic,Yes,2,Deferred air. Rank only if annual volume threshold met.
VnS,2DA REG / EXPEDITED PKG,2nd Day Air / Expedited,2DA,Expedited,Domestic,Yes,3,Core domestic expedited service.
VnS,2DA REG / EXPEDITED LTR,2nd Day Air / Expedited,2DA,Expedited,Domestic,Yes,3,Letter rating of the same service.
VnS,2DA REG / XPD LTR BILLED AS PKG,2nd Day Air / Expedited,2DA,Expedited,Domestic,Yes,3,Letter re-rated as package; same service.
VnS,2DA AM PKG,2nd Day Air Early A.M.,2DA AM,Expedited,Domestic,Yes,4,Time-definite AM commitment. Usually low volume.
VnS,2DA AM LTR,2nd Day Air Early A.M.,2DA AM,Expedited,Domestic,Yes,4,Time-definite AM commitment. Usually low volume.
VnS,2DA AM LTR BILLED AS PKG,2nd Day Air Early A.M.,2DA AM,Expedited,Domestic,Yes,4,Time-definite AM commitment. Usually low volume.
VnS,NDA PM / EXPRESS SAVER PKG,Next Day Air Saver,NDA Saver,Premium,Domestic,Yes,5,End-of-day next-day commitment; value premium tier.
VnS,NDA PM / EXPRESS SAVER LTR,Next Day Air Saver,NDA Saver,Premium,Domestic,Yes,5,End-of-day next-day commitment; value premium tier.
VnS,NDA PM / XPR SVR LTR BLD AS PKG,Next Day Air Saver,NDA Saver,Premium,Domestic,Yes,5,Letter re-rated as package; same service.
VnS,NDA REG / EXPRESS PKG,Next Day Air / Express,NDA,Premium,Domestic,Yes,6,Core premium overnight service.
VnS,NDA REG / EXPRESS LTR,Next Day Air / Express,NDA,Premium,Domestic,Yes,6,Letter rating of the same service.
VnS,NDA REG / EXPRESS CWT,Next Day Air / Express,NDA,Premium,Domestic,Yes,6,Hundredweight overnight.
VnS,NDA REG / XPR LTR BILLED AS PKG,Next Day Air / Express,NDA,Premium,Domestic,Yes,6,Letter re-rated as package; same service.
VnS,NDA AM / EXPRESS PLUS PKG,Next Day Air Early,NDA Early,Premium,Domestic,Yes,7,Highest-cost time-definite AM service.
VnS,NDA AM / EXPRESS PLUS LTR,Next Day Air Early,NDA Early,Premium,Domestic,Yes,7,Highest-cost time-definite AM service.
VnS,WW EXPRESS REG PKG,International Express,Intl Express,Premium,International,Yes,8,Report in the international view only.
VnS,WW EXPRESS REG LTR,International Express,Intl Express,Premium,International,Yes,8,Report in the international view only.
VnS,WW EXPRESS REG DOC,International Express,Intl Express,Premium,International,Yes,8,Report in the international view only.
VnS,WW EXPRESS REG PAK,International Express,Intl Express,Premium,International,Yes,8,Report in the international view only.
VnS,WW EXPRESS PM / SAVER PKG,International Express Saver,Intl Saver,Premium,International,Yes,9,Report in the international view only.
VnS,WW EXPRESS PM / SAVER LTR,International Express Saver,Intl Saver,Premium,International,Yes,9,Report in the international view only.
VnS,WW EXPRESS PM / SAVER DOC,International Express Saver,Intl Saver,Premium,International,Yes,9,Report in the international view only.
VnS,WW EXPRESS PM / SVR LTR BLD AS DOC,International Express Saver,Intl Saver,Premium,International,Yes,9,Report in the international view only.
VnS,WW EXPEDITED / 2DA PKG,International Expedited,Intl Expedited,Expedited,International,Yes,10,Report in the international view only.
VnS,WW EXPEDITED / 2DA LTR,International Expedited,Intl Expedited,Expedited,International,Yes,10,Report in the international view only.
VnS,WW 3DS PKG,International Standard,Intl Standard,Deferred,International,Yes,11,Report in the international view only.
VnS,MISC / UNC,Excluded - Adjustments,Excluded,Non-Service,Not Applicable,No,99,Unclassified charges and billing adjustments. Excluded from every service ranking; shown on the Data Quality page.
TnT,GROUND,Ground,Ground,Deferred,Domestic,Yes,1,Time-in-Transit vocabulary for the ground service group.
TnT,THREE DAY SELECT,3 Day Select,3DS,Deferred,Domestic,Yes,2,Time-in-Transit vocabulary for 3 Day Select.
TnT,SECOND DAY AIR,2nd Day Air / Expedited,2DA,Expedited,Domestic,Yes,3,Time-in-Transit vocabulary for 2nd Day Air.
TnT,SECOND DAY EARLY AM,2nd Day Air Early A.M.,2DA AM,Expedited,Domestic,Yes,4,Time-in-Transit vocabulary for 2nd Day Air Early A.M.
TnT,NEXT DAY AIR SAVER,Next Day Air Saver,NDA Saver,Premium,Domestic,Yes,5,Time-in-Transit vocabulary for Next Day Air Saver.
TnT,NEXT DAY AIR,Next Day Air / Express,NDA,Premium,Domestic,Yes,6,Time-in-Transit vocabulary for Next Day Air.
TnT,UPS EXPRESS EARLY,Next Day Air Early,NDA Early,Premium,Domestic,Yes,7,Time-in-Transit vocabulary for Next Day Air Early.
TnT,INTERNATIONAL EXPRESS,International Express,Intl Express,Premium,International,Yes,8,Report in the international view only.
TnT,INTERNATIONAL EXPRESS SAVER,International Express Saver,Intl Saver,Premium,International,Yes,9,Report in the international view only.
TnT,INTERNATIONAL EXPEDITED,International Expedited,Intl Expedited,Expedited,International,Yes,10,Report in the international view only.
TnT,INTERNATIONAL STANDARD,International Standard,Intl Standard,Deferred,International,Yes,11,Report in the international view only.
